tmdb_id,title,release_year,overview,genres,keywords,is_period_piece,signals_used,setting_start_year,setting_end_year,setting_decade,year_gap,vote_count,revenue_usd,in_top_k_by_revenue,country
9264,Poison Ivy,1992,A seductive teen befriends an introverted high school student and schemes her way into the lives of her wealthy family.,"['Thriller', 'Drama']","['suicide', 'rape', 'manipulation', 'father', 'fake suicide', 'sociopath', 'teenage girl', 'older man younger woman relationship', 'rebellious youth', 'obsessive love', 'woman director', 'erotic thriller', 'sex with a minor', 'bad influence']",False,[],,,,,384,1829804,True,['US']
22582,Tom and Jerry: The Movie,1992,The popular cartoon cat and mouse are thrown into a feature film. The story has the twosome trying to help an orphan girl who is being berated and exploited by a greedy guardian.,"['Animation', 'Comedy', 'Family', 'Music']","['villain', 'cartoon cat', 'family', 'cartoon mouse', 'female villain']",False,[],,,,,602,3600000,True,['US']
9278,Freejack,1992,"Time-traveling bounty hunters find a doomed race-car driver in the past and bring him to 2009 New York, where his mind will be replaced with that of a terminally ill billionaire.","['Science Fiction', 'Action', 'Crime', 'Drama']","['future', 'bounty hunter', 'based on novel or book', 'chase', 'immortality', 'dystopia', 'post-apocalyptic future', 'time travel', 'evil corporation']",False,['fantasy_penalty'],,,,,340,17129026,True,['US']
9300,Orlando,1992,"England, 1600. Queen Elizabeth I promises Orlando, a young nobleman obsessed with poetry, that she will grant him land and fortune if he agrees to satisfy a very particular request.","['Drama', 'Fantasy']","['london, england', 'based on novel or book', 'queen elizabeth i', 'breaking the fourth wall', 'androgyny', 'woman director', 'nobleman', ""women's rights"", 'ottoman empire']",False,['fantasy_penalty'],,,,,354,5377643,True,['GB']
23637,"Ciao, Professore!",1992,"A bureaucratic snafu sends Marco Tullio Sperelli, a portly, middle-aged northern Italian, to teach third grade in a poor town outside Naples",['Comedy'],['woman director'],False,[],,,,,396,0,True,['IT']
10326,Forever Young,1992,A 1939 test pilot asks his best friend to use him as a guinea pig for a cryogenics experiment. Daniel McCormick wants to be frozen for a year so that he doesn't have to watch his love lying in a coma. The next thing Daniel knows is that he's been awoken in 1992.,"['Adventure', 'Fantasy', 'Drama', 'Science Fiction', 'Romance']","['airplane', 'experiment', 'test person', 'u.s. air force', 'cryogenics', 'suspended animation', 'rapid ageing']",False,['explicit_past_year'],1939.0,1992.0,1930s,53.0,929,128000000,True,['US']
17494,Unlawful Entry,1992,"Happily married Michael and Karen Carr call the police after Karen is held at knife point during a failed robbery attempt in their home. Before long, one of the responding officers, Officer Pete Davis, helps arrange the installation of a new security system, taking extra interest in the couple's case. As a result, the grateful Carrs invite him to stay for dinner and they strike up an unexpected friendship. However, as the lonely policeman develops an intense fixation on Karen, his take on friendship develops into a dangerous obsession soon becoming the Carrs' worst nightmare.","['Thriller', 'Mystery']","['married couple', 'protection', 'stalking', 'invasion of privacy', 'los angeles, california', 'police officer', 'break in', 'security system', 'lapd', 'unstable cop', 'obsessed with a woman', 'financial investor', 'night club', 'entire life upended']",False,[],,,,,330,57138719,True,['US']
8293,Howards End,1992,"A saga of class relations and changing times in an Edwardian England on the brink of modernity, the film centers on liberal Margaret Schlegel, who, along with her sister Helen, becomes involved with two couples: wealthy, conservative industrialist Henry Wilcox and his wife Ruth, and the downwardly mobile working-class Leonard Bast and his mistress Jackie.","['Drama', 'Romance']","['london, england', 'sibling relationship', 'countryside', 'based on novel or book', 'empowerment', 'sister', 'class differences', 'turn of the century', 'edwardian england', '1900s', 'wealthy family', 'sister sister relationship']",False,[],,,,,571,26126837,True,['US']
619,The Bodyguard,1992,"A former Secret Service agent grudgingly takes an assignment to protect a pop idol who's threatened by a crazed fan. At first, the safety-obsessed bodyguard and the self-indulgent diva totally clash. But before long, all that tension sparks fireworks of another sort, and the love-averse tough guy is torn between duty and romance.","['Action', 'Drama', 'Romance']","['sibling relationship', 'bodyguard', 'anonymous letter', 'diva', 'stalker', 'singer', 'los angeles, california', 'admiring']",False,[],,,,,3107,411006740,True,['US']
12395,Thunderheart,1992,A young mixed-blood FBI agent is assigned to work with a cynical veteran investigator on a murder on a poverty-stricken Sioux reservation.,"['Crime', 'Mystery', 'Thriller']","['fbi', 'native american', 'past', 'sioux', 'native american reservation']",False,[],,,,,301,0,True,['US']
13937,Raising Cain,1992,"Child psychologist Carter Nix is a loving and caring family man, but under this appearance lies a dark and troubled past. Grappling with the consequences of this past on his own psyche and the influence of his returning father and violent brother Cain, Carter becomes involved in a series of murders and kidnappings. Meanwhile, his wife Jenny rekindles an old love affair, placing herself in the crosshairs of her increasingly unstable husband.","['Thriller', 'Crime', 'Mystery', 'Horror']","['child abuse', 'kidnapping', 'detective', 'attempted murder', 'swamp', 'flashback', 'psychologist', 'hospital', 'evil twin', 'hypnotism', 'psychotic', 'multiple personality', 'suspenseful', 'intense']",False,[],,,,,372,37170057,True,['US']
24182,"Dearest Relatives, Poisonous Relations",1992,"During the annual Christmas gathering at the family home, the parents surprise their children by announcing their decision to move in with one of them and pass on the house.",['Comedy'],"['family', 'capodanno', 'sulmona', 'avós', 'ceia', 'velhice', 'christmas']",False,[],,,,,338,0,True,['IT']
11386,The Crying Game,1992,"Irish Republican Army member Fergus forms an unexpected bond with Jody, a kidnapped British soldier in his custody, despite the warnings of fellow IRA members Jude and Maguire. Jody makes Fergus promise he'll visit his girlfriend, Dil, in London, and when Fergus flees to the city, he seeks her out. Hounded by his former IRA colleagues, he finds himself increasingly drawn to the enigmatic, and surprising, Dil.","['Crime', 'Drama', 'Thriller']","[""love of one's life"", 'transsexuality', 'hostage', 'northern ireland', 'teenage crush', 'soldier', 'ira (irish republican army)', 'political unrest', 'gender dysphoria', 'cautionary', 'transgender', 'critical', 'lqbtq', 'disheartening', 'distressing', 'hopeful', 'optimistic', 'sympathetic']",False,[],,,,,803,62548947,True,['GB']
