setting_decade,percent
1910s,20.385674931129476
1940s,14.325068870523417
1970s,8.264462809917356
1960s,8.264462809917356
1950s,7.988980716253444
1980s,7.162534435261708
1930s,5.785123966942149
1860s,5.5096418732782375
1920s,3.581267217630854
1990s,3.0303030303030303
2000s,2.7548209366391188
1890s,2.203856749311295
1870s,1.3774104683195594
1800s,1.1019283746556474
1850s,1.1019283746556474
1900s,1.1019283746556474
1830s,0.8264462809917356
1820s,0.8264462809917356
1780s,0.8264462809917356
1810s,0.5509641873278237
1840s,0.5509641873278237
1790s,0.5509641873278237
1740s,0.5509641873278237
1690s,0.27548209366391185
1760s,0.27548209366391185
1880s,0.27548209366391185
1640s,0.27548209366391185
1750s,0.27548209366391185
