setting_decade,count
,7506
1910s,125
1950s,95
1970s,92
1960s,89
1940s,88
1980s,84
1930s,54
1920s,48
1990s,45
1860s,33
2000s,25
2010s,13
1890s,12
1900s,9
1800s,6
1870s,6
1880s,5
1840s,4
1830s,4
1850s,4
1820s,4
1780s,3
1810s,3
1740s,2
1790s,2
2020s,2
1660s,1
1600s,1
1690s,1
1680s,1
1760s,1
1640s,1
1630s,1
1750s,1
