genre,count
drama,639
history,457
war,288
action,184
western,139
adventure,137
romance,117
comedy,112
thriller,105
crime,62
music,28
mystery,25
family,15
horror,15
animation,14
documentary,13
science fiction,6
tv movie,4
fantasy,2
